651253441868771328	In space, no one can see your meme. #NewSpaceFacts @midnight	1
651248544112766976	On Jupiter, Donald Trump is 317.828 times more racist than on Earth #NewSpaceFacts @midnight	2
651258462806999040	Orion's belt is made of real leather #NewSpaceFacts @midnight	1
651245897045667840	Shooting stars are just aliens who forgot their anniversaries and have to beat closing time at the florist.   #NewSpaceFacts @midnight	1
651248628598706176	Spacesplaining is gonna get Earth trolled by Aliens. #NewSpaceFacts @midnight	1
651246758455025664	The Milky Way is the Universe's Florida #NewSpaceFacts @midnight	1
651282146158444544	The crab nebula contains imitation crab. #NewSpaceFacts @midnight	1
651239225254244352	Uranus is 4 times bigger than the Earth, but if it worked at it, it could be tighter. #NewSpaceFacts @midnight	1
651239619564957697	No one can hear you vape in space #NewSpaceFacts @midnight	1
651251708903817216	My closet doesn't have enough of it #NewSpaceFacts @midnight	1
