tweet_id,tweet_text,tweet_classifications
650067587267710976,@midnight Notorious Chef-B.I.G. #Pizzalebrities,OBSV
650065349673529344,The Pope of Pepperoni #Pizzalebrities @midnight Twisted Pizza Provincetown http://t.co/2Q6dBjSHPd,OBSV
649788514066821120,Pie-ly Cyrus #Pizzalebrities @midnight,OBSV_WPLY
650046929045450753,Jackie Chan Tossed #Pizzalebrities @midnight,OBSV
650042186264805376,@midnight #Pizzalebrities Robert Doughy Jr.,OBSV_WPLY
650049315012935680,Kevin Canadian Bacon #Pizzalebrities @midnight,OBSV_WPLY
650060274901192704,Pepperoni Clooney #Pizzalebrities @midnight,OBSV_WPLY
650040780074016768,Mathew Peri-Peri. #Pizzalebrities @midnight,OBSV_WPLY
650063957760212992,Charlize Calzone @midnight #Pizzalebrities,OBSV_WPLY
650027328404217856,@midnight @SklarBrothers @sarahtiana #Pizzalebrities Weird Al Anchovies http://t.co/3lUNxwWmgv,OBSV_WPLY
650039776414863360,Italena Headey. #Pizzalebrities @midnight,OBSV_WPLY
650050023997108224,Ham &amp; Pineapple on whole WilWheaton #Pizzalebrities @midnight,OBSV_WPLY
650064857941733376,@midnight #Pizzalebrities Wil Wheatcrust,OBSV_WPLY
650041642448064512,Crustopher Nolan. #Pizzalebrities @midnight,OBSV_WPLY
650059269304393728,You know @midnight will always deliver. #Pizzalebrities @SklarBrothers http://t.co/BHCEtgQicB http://t.co/mGhXGgfvyj,OBSV_WPLY
650048983973236736,Bon Chovy #Pizzalebrities @midnight,OBSV_WPLY
650028792686223360,@midnight Fats Dominoes delivers in 30 minutes or less. #Pizzalebrities,OBSV_WPLY
650047447213953024,Slice Stallone #Pizzalebrities @midnight,OBSV_WPLY
649791075574530048,Andrew Slice Clay @midnight #Pizzalebrities,OBSV_WPLY
650048700769697792,What do you want on your TombStone Cold Steve Austin #Pizzalebrities @midnight,OBSV_WPLY
649789053240410112,Papa John's Faverau #Pizzalebrities @midnight,OBSV_WPLY
649788724495060992,Sylvester Calzone #Pizzalebrities @midnight,OBSV_WPLY
650050568375955457,Ethan Hawaiian #Pizzalebrities @Midnight,OBSV
650071130905055232,Whitney Toppings #Pizzalebrities @midnight,OBSV_WPLY
650060831707676673,Mozart rella #Pizzalebrities @midnight,OBSV_WPLY
650028445645283329,@midnight Papa Johns Cusak #Pizzalebrities,OBSV_WPLY
650032483006869504,A pizza w Taylor ham and Swift cheese #Pizzalebrities @midnight,OBSV_WPLY
650025546064072704,@midnight #Pizzalebrities Italian Sausage and Olive Barrymore Kopelman,OBSV_WPLY
650032125241110528,@midnight Dan Ak-Noid #Pizzalebrities,OBSV_WPLY
650044358713077760,Kevinadian Bacon #Pizzalebrities @midnight,OBSV_WPLY
650045360463712256,"@midnight It's not delivery, it's DeNiro #Pizzalebrities http://t.co/tEmmIYofbA",OBSV_WPLY
650065425045131266,Don Garlic Knots. @midnight #Pizzalebrities,OBSV_WPLY
650059569364774913,Sandra Bullockoni &amp; Spinach #Pizzalebrities @midnight,OBSV_WPLY
650068745466064897,Biggy Smalls Slice @midnight #Pizzalebrities,OBSV_WPLY
650051382788100096,Alan Thicke Crust #Pizzalebrities @Midnight,OBSV_WPLY
650059866619297792,Pepperoni Damon #Pizzalebrities @midnight,OBSV_WPLY
650029430530834432,Anthony Wiener-stuffed-pizza #Pizzalebrities @midnight,OBSV_VLGR_WPLY
650056860431609856,@midnight Olive R Pratt #Pizzalebrities,OBSV_WPLY
650067147289333760,Jesus Crust #Pizzalebrities @midnight,OBSV_WPLY
650038281162219520,Kevin Take-and-Bacon #Pizzalebrities @midnight,OBSV_WPLY
650072973857067009,Quentin Taratotino's Pizza Rolls #Pizzalebrities @midnight,OBSV_WPLY
650061314925166592,I didn't order Snoop Lion Sausage &amp; Anne Hechovies no.!! don't Return it!! #Pizzalebrities @midnight,OTHR_OBSV_WPLY
649791440537518080,"It's not delivery, it's DeVito's @midnight #Pizzalebrities",OBSV_WPLY
649820085595455488,Steve Glutenberg Free Crust #Pizzalebrities @midnight,OBSV_WPLY
650041487560863744,Crustian Bale. #Pizzalebrities @midnight,OBSV_WPLY
650040342872326144,Jackie Pan Pizza. #Pizzalebrities @midnight,OBSV_WPLY
650073228929425408,Jon daily deals #Pizzalebrities @midnight,OBSV_WPLY
649794037113819136,Personal Pan Aykroyd #Pizzalebrities @midnight,OBSV_WPLY
650047715854929920,Guttenberg-Free Crust #Pizzalebrities @midnight,OBSV_WPLY
650064126257991680,Kim Jong Onion #Pizzalebrities @midnight,OBSV_WPLY
650049753003126784,Benedict Cucumber-Batch #Pizzalebrities @midnight,OBSV_WPLY
650067389422379008,.@midnight Jabba The Pizza Hut #Pizzalebrities,OBSV_WPLY
650073698930696192,Sgt. Red Pepper's Lonely Stuffed Crust Band #Pizzalebrities @midnight,OBSV_WPLY
650040278238130176,Oregano Bloom. #Pizzalebrities @midnight,OBSV_WPLY
650045645282107392,@midnight Harrison Fourdcheese Pizza #Pizzalebrities http://t.co/XCzeid1S81,OBSV_WPLY
650063694731177984,Papa John Slattery @midnight #Pizzalebrities,OBSV_WPLY
650064285570199552,Jennifer Meat Lovers Hewitt @midnight #Pizzalebrities,OBSV_WPLY
649793019705737216,Bon Anjovies #Pizzalebrities @midnight,OBSV_WPLY
650030503823708160,Rick-otta Astley @midnight #Pizzalebrities,OBSV_WPLY
